2023-12-23 17:03:21.367 [info] Added views:workbench.panel.markers.view in workbench.panel.markers
2023-12-23 17:03:21.367 [info] Added views:workbench.panel.output in workbench.panel.output
2023-12-23 17:03:21.367 [info] Added views:terminal in terminal
2023-12-23 17:03:21.367 [info] Added views:outline in workbench.view.explorer
2023-12-23 17:03:21.367 [info] Added views:workbench.scm in workbench.view.scm
2023-12-23 17:03:21.367 [info] Added views:workbench.view.search in workbench.view.search
2023-12-23 17:03:21.367 [info] Added views:timeline in workbench.view.explorer
2023-12-23 17:03:21.367 [info] Added views:workbench.explorer.fileView in workbench.view.explorer
2023-12-23 17:03:21.905 [info] Added views:workbench.debug.welcome in workbench.view.debug
2023-12-23 17:03:21.944 [info] Added views:workbench.panel.repl.view in workbench.panel.repl
2023-12-23 17:03:22.327 [info] Added views:~remote.forwardedPorts in ~remote.forwardedPortsContainer
2023-12-23 17:03:23.306 [info] Added views:workbench.views.extensions.installed,workbench.views.extensions.popular,extensions.recommendedList in workbench.view.extensions
2023-12-23 17:03:23.308 [info] Removed views:workbench.views.extensions.popular from workbench.view.extensions
2023-12-23 17:03:23.580 [info] Added views:workbench.views.extensions.popular in workbench.view.extensions
2023-12-23 17:03:38.961 [info] Removed views:extensions.recommendedList,workbench.views.extensions.popular,workbench.views.extensions.installed from workbench.view.extensions
2023-12-23 17:03:38.967 [info] Added views:workbench.views.extensions.marketplace in workbench.view.extensions
2023-12-23 17:03:43.843 [info] Removed views:workbench.views.extensions.marketplace from workbench.view.extensions
2023-12-23 17:03:43.861 [info] Added views:workbench.views.extensions.installed,workbench.views.extensions.popular,extensions.recommendedList in workbench.view.extensions
2023-12-23 17:03:45.547 [info] Removed views:extensions.recommendedList,workbench.views.extensions.popular,workbench.views.extensions.installed from workbench.view.extensions
2023-12-23 17:03:45.589 [info] Added views:workbench.views.extensions.marketplace in workbench.view.extensions
2023-12-23 17:04:44.516 [info] Removed views:workbench.views.extensions.marketplace from workbench.view.extensions
2023-12-23 17:04:44.536 [info] Added views:workbench.views.extensions.installed,workbench.views.extensions.popular,extensions.recommendedList in workbench.view.extensions
2023-12-23 17:04:47.648 [info] Removed views:extensions.recommendedList,workbench.views.extensions.popular,workbench.views.extensions.installed from workbench.view.extensions
2023-12-23 17:04:47.656 [info] Added views:workbench.views.extensions.marketplace in workbench.view.extensions
2023-12-23 17:04:51.223 [info] Removed views:workbench.views.extensions.marketplace from workbench.view.extensions
2023-12-23 17:04:51.241 [info] Added views:workbench.views.extensions.installed,workbench.views.extensions.popular,extensions.recommendedList in workbench.view.extensions
2023-12-23 17:04:53.340 [info] Removed views:extensions.recommendedList,workbench.views.extensions.popular,workbench.views.extensions.installed from workbench.view.extensions
2023-12-23 17:04:53.380 [info] Added views:workbench.views.extensions.marketplace in workbench.view.extensions
2023-12-23 17:05:05.087 [info] Removed views:workbench.views.extensions.marketplace from workbench.view.extensions
2023-12-23 17:05:05.104 [info] Added views:workbench.views.extensions.installed,workbench.views.extensions.popular,extensions.recommendedList in workbench.view.extensions
2023-12-23 17:05:26.822 [info] Removed views:extensions.recommendedList,workbench.views.extensions.popular,workbench.views.extensions.installed from workbench.view.extensions
2023-12-23 17:05:26.833 [info] Added views:workbench.views.extensions.marketplace in workbench.view.extensions
2023-12-23 17:05:38.202 [info] Removed views:workbench.views.extensions.marketplace from workbench.view.extensions
2023-12-23 17:05:38.216 [info] Added views:workbench.views.extensions.installed,workbench.views.extensions.popular,extensions.recommendedList in workbench.view.extensions
2023-12-23 17:06:35.854 [info] Removed views:extensions.recommendedList,workbench.views.extensions.popular,workbench.views.extensions.installed from workbench.view.extensions
2023-12-23 17:06:35.862 [info] Added views:workbench.views.extensions.marketplace in workbench.view.extensions
