2024-01-18 15:56:12.091 [info] Log level: Info
2024-01-18 15:56:12.091 [info] Validating found git in: "git"
2024-01-18 15:56:12.091 [info] Using git "2.43.0" from "git"
2024-01-18 15:56:12.091 [info] > git rev-parse --show-toplevel [12ms]
2024-01-18 15:56:12.110 [info] > git rev-parse --show-toplevel [13ms]
2024-01-18 15:56:12.134 [info] > git rev-parse --show-toplevel [3ms]
2024-01-18 15:56:12.388 [info] > git rev-parse --show-toplevel [238ms]
2024-01-18 15:56:12.510 [info] > git rev-parse --show-toplevel [5ms]
2024-01-18 15:56:12.522 [info] > git rev-parse --show-toplevel [2ms]
2024-01-18 15:56:12.535 [info] > git rev-parse --show-toplevel [1ms]
2024-01-18 15:56:12.553 [info] > git rev-parse --show-toplevel [2ms]
2024-01-18 15:56:12.574 [info] > git rev-parse --show-toplevel [2ms]
2024-01-18 15:56:13.408 [info] > git rev-parse --show-toplevel [2ms]
2024-01-18 15:56:13.631 [info] > git rev-parse --show-toplevel [1ms]
2024-01-18 15:56:13.901 [info] > git rev-parse --show-toplevel [3ms]
2024-01-18 15:56:26.449 [info] > git rev-parse --show-toplevel [9ms]
2024-01-18 15:56:30.035 [info] > git rev-parse --show-toplevel [2ms]
2024-01-18 15:56:31.844 [info] > git rev-parse --show-toplevel [2ms]
2024-01-18 15:59:02.713 [info] > git rev-parse --show-toplevel [2ms]
2024-01-18 15:59:07.258 [info] > git rev-parse --show-toplevel [2ms]
2024-01-18 15:59:08.211 [info] > git rev-parse --show-toplevel [2ms]
2024-01-18 16:01:44.944 [info] > git rev-parse --show-toplevel [4ms]
2024-01-18 16:01:49.370 [info] > git rev-parse --show-toplevel [1ms]
2024-01-18 16:04:46.405 [info] > git rev-parse --show-toplevel [2ms]
2024-01-18 16:04:46.579 [info] > git rev-parse --show-toplevel [2ms]
2024-01-18 16:07:55.731 [info] > git rev-parse --show-toplevel [9ms]
2024-01-18 16:07:56.281 [info] > git rev-parse --show-toplevel [42ms]
2024-01-18 16:18:45.278 [info] > git rev-parse --show-toplevel [18ms]
2024-01-18 16:19:22.546 [info] > git rev-parse --show-toplevel [3ms]
2024-01-18 16:19:28.251 [info] > git rev-parse --show-toplevel [5ms]
2024-01-18 16:19:29.426 [info] > git rev-parse --show-toplevel [3ms]
2024-01-18 16:19:59.087 [info] > git rev-parse --show-toplevel [1ms]
2024-01-18 16:19:59.426 [info] > git rev-parse --show-toplevel [2ms]
2024-01-18 16:19:59.954 [info] > git rev-parse --show-toplevel [17ms]
2024-01-18 16:20:07.063 [info] > git rev-parse --show-toplevel [14ms]
2024-01-18 16:20:14.478 [info] > git rev-parse --show-toplevel [3ms]
2024-01-18 16:20:16.345 [info] > git rev-parse --show-toplevel [1ms]
2024-01-18 16:20:36.274 [info] > git rev-parse --show-toplevel [1ms]
2024-01-18 16:20:37.091 [info] > git rev-parse --show-toplevel [3ms]
